question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,confidence_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
,deepset/bert-base-cased-squad2,"slipped to the ground, plunging on her back.","They slipped to the ground, plucking into her back.",slipped to the ground plunging on her back,they slipped to the ground plucking into her back,"γλίστρησε στο έδαφος, βυθίστηκε στην πλάτη της.","γλίστρησαν στο έδαφος, κατρακυλώντας στην πλάτη της.",0.031447556,0.947,0.796,0.857,0.938,0.928,0.705882353,0.871076471,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,ran to the trees,"They slipped to the ground, plucking into her back.",ran to the trees,they slipped to the ground plucking into her back,Έτρεξε στα δέντρα,"γλίστρησαν στο έδαφος, κατρακυλώντας στην πλάτη της.",0.780491114,0.827,0.204,0.308,0.337,0.283,0.307692308,0.412938462,no,no,no
What did the animals do to safely climb the giraffe?,deepset/roberta-base-squad2,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.725209832,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.630012453,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
,distilbert-base-cased-distilled-squad,ran to the trees,They were helping each other.,ran to the trees,they were helping each other,Έτρεξε στα δέντρα,βοηθούσαν το ένα το άλλο,0.353062123,0.733,0.179,0.318,0.359,0.168,0,0.3399,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.850291014,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
,distilbert-base-uncased-distilled-squad,The hairy wild boar came up carefully,They were helping each other.,the hairy wild boar came up carefully,they were helping each other,Το τριχωτό αγριογούρουνο ήρθε προσεκτικά.,βοηθούσαν το ένα το άλλο,0.056696206,0.67,0.27,0.4,0.088,0.135,0,0.2362,no,no,no
,rsvp-ai/bertserini-bert-base-squad,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.113862433,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
,deepset/minilm-uncased-squad2,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.714040339,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.678207219,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
,deepset/bert-base-cased-squad2,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.197110787,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,helping each other,They were helping each other.,helping each other,they were helping each other,Να βοηθάτε ο ένας τον άλλον,βοηθούσαν το ένα το άλλο,0.652242005,0.924,0.643,0.783,0.964,0.774,0.75,0.863,yes,yes,yes
What did the gazelle ask?,deepset/roberta-base-squad2,run away,What can we do?,run away,what can we do?,Φύγε μακριά μου.,«Τι μπορούμε να κάνουμε»,0.065946236,0.604,0.176,0.24,0.485,0.082,0,0.3564,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,It is too late to run away,What can we do?,it is too late to run away,what can we do?,Είναι πολύ αργά για να το σκάσουμε.,«Τι μπορούμε να κάνουμε»,0.31176284,0.78,0.192,0.279,0.421,0.052,0,0.3715,no,no,no
,distilbert-base-cased-distilled-squad,"""It is too late to run away.""",What can we do?,it is too late to run away,what can we do?,"""Είναι πολύ αργά για να το σκάσεις.""",«Τι μπορούμε να κάνουμε»,0.356129348,0.78,0.192,0.279,0.421,-0.033,0,0.3715,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,It is too late to run away,What can we do?,it is too late to run away,what can we do?,Είναι πολύ αργά για να το σκάσουμε.,«Τι μπορούμε να κάνουμε»,0.464003742,0.78,0.192,0.279,0.421,0.052,0,0.3715,no,no,no
,distilbert-base-uncased-distilled-squad,'What can we do?',What can we do?,what can we do?,what can we do?,"""Τι μπορούμε να κάνουμε;""",«Τι μπορούμε να κάνουμε»,0.293568194,0.948,0.882,0.938,0.992,0.75,0.5,0.8684,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,"""It is too late to run away",What can we do?,it is too late to run away,what can we do?,"""Είναι πολύ αργά για να το σκάσεις",«Τι μπορούμε να κάνουμε»,0.586874545,0.78,0.192,0.279,0.421,-0.033,0,0.3715,no,no,no
,deepset/minilm-uncased-squad2,It is too late to run away,What can we do?,it is too late to run away,what can we do?,Είναι πολύ αργά για να το σκάσουμε.,«Τι μπορούμε να κάνουμε»,0.225260243,0.78,0.192,0.279,0.421,0.052,0,0.3715,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,"""It is too late to run away.""",What can we do?,it is too late to run away,what can we do?,"""Είναι πολύ αργά για να το σκάσεις.""",«Τι μπορούμε να κάνουμε»,0.175413743,0.78,0.192,0.279,0.421,-0.033,0,0.3715,no,no,no
,deepset/bert-base-cased-squad2,"""It is too late to run away",What can we do?,it is too late to run away,what can we do?,"""Είναι πολύ αργά για να το σκάσεις",«Τι μπορούμε να κάνουμε»,0.214834914,0.78,0.192,0.279,0.421,-0.033,0,0.3715,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,'What can we do?,What can we do?,what can we do?,what can we do?,Τι μπορούμε να κάνουμε,«Τι μπορούμε να κάνουμε»,0.186066508,0.948,0.882,0.938,0.992,0.807,0.5,0.8684,yes,yes,yes
What's the individual number of gold?,deepset/roberta-base-squad2,"196,966,569",79,196966569,79,"196,966,569",79,0.700630844,-,-,-,-,0,-,0,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,"196,966,569",79,196966569,79,"196,966,569",79,0.954721868,-,-,-,-,0,-,0,no,no,no
,distilbert-base-cased-distilled-squad,Ag,79,ag,79,Αγάπη,79,0.901735902,0.001,0,0,0.75,0.294,0,0.3002,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,"196,966,569",79,196966569,79,"196,966,569",79,0.296780616,-,-,-,-,0,-,0,no,no,no
,distilbert-base-uncased-distilled-squad,"196,966,569",79,196966569,79,"196,966,569",79,0.983367503,-,-,-,-,0,-,0,no,no,no
,rsvp-ai/bertserini-bert-base-squad,"196,966,569",79,196966569,79,"196,966,569",79,0.936402738,-,-,-,-,0,-,0,no,no,no
,deepset/minilm-uncased-squad2,"196,966,569",79,196966569,79,"196,966,569",79,0.951214492,-,-,-,-,0,-,0,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,"196,966,569",79,196966569,79,"196,966,569",79,0.982006252,-,-,-,-,0,-,0,no,no,no
,deepset/bert-base-cased-squad2,11,79,11,79,11,79,0.345596045,-,-,-,-,0,-,0,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,"196,966,569",79,196966569,79,"196,966,569",79,0.90410912,-,-,-,-,0,-,0,no,no,no
"What are the only ""coloured metals"" ?",deepset/roberta-base-squad2,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.955070138,1,1,1,1,0.987,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.987912297,1,1,1,1,0.987,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.995331287,1,1,1,1,0.987,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.98646158,1,1,1,1,0.987,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.993538797,1,1,1,1,0.987,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.962634385,1,1,1,1,0.987,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.93953979,1,1,1,1,0.987,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.991987586,1,1,1,1,0.987,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.983230352,1,1,1,1,0.987,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Gold and copper,gold and copper,gold and copper,gold and copper,Χρυσός και χαλκός,ο χρυσός και ο χαλκός,0.970350444,1,1,1,1,0.987,1,1,yes,yes,yes
Which group of the magazine system includes gold?,deepset/roberta-base-squad2,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.558027089,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.698452711,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
,distilbert-base-cased-distilled-squad,11,in Group 11 (ex IB),11,in group 11 (ex ib),11,στην ομάδα 11 (πρώην ΙΒ),0.320350379,0.525,0.105,0.19,0.829,0.555,0.333333333,0.532766667,yes,partially,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.789274275,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
,distilbert-base-uncased-distilled-squad,star systems,in Group 11 (ex IB),star systems,in group 11 (ex ib),συστήματα αστεριών,στην ομάδα 11 (πρώην ΙΒ),0.8363657,0.347,0.158,0.194,0.471,0.148,0,0.293,no,no,no
,rsvp-ai/bertserini-bert-base-squad,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.663352251,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
,deepset/minilm-uncased-squad2,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.66601938,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.605163276,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
,deepset/bert-base-cased-squad2,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.421241969,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,group 11,in Group 11 (ex IB),group 11,in group 11 (ex ib),ομάδα 11,στην ομάδα 11 (πρώην ΙΒ),0.503605664,0.686,0.421,0.593,0.876,0.814,0.571428571,0.703285714,yes,yes,yes
How is it traditionally considered that gold came from?,deepset/roberta-base-squad2,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.649783194,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.712082505,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,distilbert-base-cased-distilled-squad,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.704985559,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.910355031,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,distilbert-base-uncased-distilled-squad,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.779813111,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,rsvp-ai/bertserini-bert-base-squad,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.761009872,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,deepset/minilm-uncased-squad2,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.756091118,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,dmis-lab/biobert-large-cased-v1.1-squad,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.814624071,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,deepset/bert-base-cased-squad2,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.728936434,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
,bert-large-cased-whole-word-masking-finetuned-squad,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form.,nucleation in supernova stars,has come from a nucleation in supernova stars that fuel the dust discs from which the various star systems form,nucleation σε αστέρια supernova,"προήλθε από πυρηνοσύνθεση σε υπερκαινοφανείς αστέρες, που τροφοδοτούν τους δίσκους σκόνης από τους οποίους σχηματίζονται τα διάφορα αστρικά συστήματα.",0.72571826,0.613,0.261,0.414,0.878,0.594,0.333333333,0.607966667,yes,partially,yes
What can gold be eroded of?,deepset/roberta-base-squad2,Earth,from so-called basil water,earth,from socalled basil water,Γη,από το αποκαλούμενο βασιλικό ύδωρ,0.363060355,0.461,0.12,0.2,0.426,0.269,0,0.2946,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,asteroids and comets,from so-called basil water,asteroids and comets,from socalled basil water,αστεροειδείς και κομήτες,από το αποκαλούμενο βασιλικό ύδωρ,0.207665637,0.271,0.16,0.222,0.208,0.201,0,0.1756,no,no,no
,distilbert-base-cased-distilled-squad,individual acids,from so-called basil water,individual acids,from socalled basil water,μεμονωμένα οξέα,από το αποκαλούμενο βασιλικό ύδωρ,0.817527354,0.402,0.2,0.244,0.568,0.23,0,0.352,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,asteroids and comets,from so-called basil water,asteroids and comets,from socalled basil water,αστεροειδείς και κομήτες,από το αποκαλούμενο βασιλικό ύδωρ,0.016453853,0.271,0.16,0.222,0.208,0.201,0,0.1756,no,no,no
,distilbert-base-uncased-distilled-squad,Earth,from so-called basil water,earth,from socalled basil water,Γη,από το αποκαλούμενο βασιλικό ύδωρ,0.395333648,0.461,0.12,0.2,0.426,0.269,0,0.2946,no,no,no
,rsvp-ai/bertserini-bert-base-squad,asteroids and comets,from so-called basil water,asteroids and comets,from socalled basil water,αστεροειδείς και κομήτες,από το αποκαλούμενο βασιλικό ύδωρ,0.398241073,0.271,0.16,0.222,0.208,0.201,0,0.1756,no,no,no
,deepset/minilm-uncased-squad2,its core,from so-called basil water,its core,from socalled basil water,ο πυρήνας της,από το αποκαλούμενο βασιλικό ύδωρ,0.185196951,0.34,0.12,0.182,0.465,0.295,0,0.2842,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,individual acids,from so-called basil water,individual acids,from socalled basil water,μεμονωμένα οξέα,από το αποκαλούμενο βασιλικό ύδωρ,0.430173904,0.402,0.2,0.244,0.568,0.23,0,0.352,no,no,no
,deepset/bert-base-cased-squad2,silver (Ag) and other base metals,from so-called basil water,silver (ag) and other base metals,from socalled basil water,αργύρου (Ag) και άλλων βασικών μετάλλων,από το αποκαλούμενο βασιλικό ύδωρ,0.139832333,0.462,0.242,0.31,0.327,0.145,0,0.2784,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,deposits,from so-called basil water,deposits,from socalled basil water,καταθέσεις,από το αποκαλούμενο βασιλικό ύδωρ,0.176287055,0.261,0.16,0.242,0.456,0.189,0,0.2748,no,no,no
What is royal water?,deepset/roberta-base-squad2,air,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",air,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,αέρας,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.262470037,0.389,0.026,0.05,0.245,0.031,0,0.1834,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,air or water,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",air or water,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,αέρας ή νερό,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.127131432,0.652,0.094,0.155,0.426,0.131,0,0.3257,no,no,no
,distilbert-base-cased-distilled-squad,gold,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",gold,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,χρυσός,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.272950888,0.318,0.026,0.05,0.371,-0.011,0,0.2196,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,basil water,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",basil water,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,Βασιλικό νερό,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.016831638,0.513,0.068,0.109,0.407,0.109,0,0.2831,no,no,no
,distilbert-base-uncased-distilled-squad,tetrachlorochromate ion,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",tetrachlorochromate ion,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,τετραχλωροχρωμικό ιόν,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.608489156,0.379,0.171,0.286,0.611,0.117,0,0.3659,no,no,no
,rsvp-ai/bertserini-bert-base-squad,gold is exposed to air or water,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",gold is exposed to air or water,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,ο χρυσός εκτίθεται στον αέρα ή στο νερό,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.107354254,0.736,0.171,0.176,0.506,0.146,0.148148148,0.41392963,no,no,no
,deepset/minilm-uncased-squad2,air,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",air,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,αέρας,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.008635232,0.389,0.026,0.05,0.245,0.031,0,0.1834,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,nitrohydrochloric acid,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",nitrohydrochloric acid,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,νιτροϋδροχλωρικό οξύ,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.01378262,0.716,0.179,0.288,0.668,0.229,0.090909091,0.475281818,no,no,no
,deepset/bert-base-cased-squad2,basil water,"is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",basil water,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,Βασιλικό νερό,"ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.01760165,0.513,0.068,0.109,0.407,0.109,0,0.2831,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,"the most ""fair"" metal","is a mixture of concentrated hydrochloric acid (HCl) and concentrated nitric acid (HNO3), in a mixture of three to one.",the most fair metal,is a mixture of concentrated hydrochloric acid (hcl) and concentrated nitric acid (hno3) in a mixture of three to one,"το πιο ""δίκαιο"" μέταλλο","ίναι μείγμα πυκνού υδροχλωρικού οξέος (HCl) και πυκνού νιτρικού οξέος (HNO3), σε αναλογία μίξης τρια προς ενα.",0.105292864,0.651,0.111,0.103,0.224,-0.043,0,0.2412,no,no,no
What's not dissolving gold?,deepset/roberta-base-squad2,nitric acid,nitric acid,nitric acid,nitric acid,νιτρικό οξύ,με νιτρικό οξύ,0.393605858,1,1,1,1,0.945,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,air or water,nitric acid,air or water,nitric acid,αέρας ή νερό,με νιτρικό οξύ,0.246691719,0.344,0.25,0.174,0.606,0.335,0,0.3536,no,no,no
,distilbert-base-cased-distilled-squad,nitric acid,nitric acid,nitric acid,nitric acid,νιτρικό οξύ,με νιτρικό οξύ,0.928405225,1,1,1,1,0.945,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,silver,nitric acid,silver,nitric acid,ασήμι,με νιτρικό οξύ,0.073857367,0.194,0.091,0.235,0.515,0.471,0,0.2774,no,no,no
,distilbert-base-uncased-distilled-squad,mercury,nitric acid,mercury,nitric acid,υδράργυρος,με νιτρικό οξύ,0.447559834,0.405,0.182,0.222,0.625,0.58,0,0.3714,no,no,no
,rsvp-ai/bertserini-bert-base-squad,basil water,nitric acid,basil water,nitric acid,Βασιλικό νερό,με νιτρικό οξύ,0.134662926,0.33,0.182,0.182,0.583,0.321,0,0.3356,no,no,no
,deepset/minilm-uncased-squad2,individual acids,nitric acid,individual acids,nitric acid,μεμονωμένα οξέα,με νιτρικό οξύ,0.002445049,0.666,0.438,0.519,0.621,0.782,0,0.4773,partially,no,partially
,dmis-lab/biobert-large-cased-v1.1-squad,nitric acid,nitric acid,nitric acid,nitric acid,νιτρικό οξύ,με νιτρικό οξύ,0.688626885,1,1,1,1,0.945,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,mercury,nitric acid,mercury,nitric acid,υδράργυρος,με νιτρικό οξύ,0.029508378,0.405,0.182,0.222,0.625,0.58,0,0.3714,no,no,no
,bert-large-cased-whole-word-masking-finetuned-squad,mercury,nitric acid,mercury,nitric acid,υδράργυρος,με νιτρικό οξύ,0.479462206,0.405,0.182,0.222,0.625,0.58,0,0.3714,no,no,no
Why is gold often found in the free elementary form?,deepset/roberta-base-squad2,It's one of the least drastic chemicals,It's one of the least drastic chemicals.,its one of the least drastic chemicals,its one of the least drastic chemicals,Είναι ένα από τα λιγότερο δραστικά χημικά.,Είναι ένα από τα λιγότερο δραστικά χημικά στοιχεία.,0.334238321,1,1,1,1,0.981,1,1,yes,yes,yes
