question,model,en_model_answer,en_correct_answer,modified_model_answer,modified_correct_answer,gr_model_answer,gr_correct_answer,model_prediction_score,nlp_score,levenshtein_score,substring_score,sentence_transformers_score,greek_sentence_transformers_score,F1_score,weighted_total_score,is_correct (labeled by human),is_correct (labeled by machine),is_correct (labeled by human)
Who is his best friend?,deepset/roberta-base-squad2,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.845212758,1,1,1,1,0.978,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.677309811,1,1,1,1,0.978,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.546376765,1,1,1,1,0.978,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.238549516,1,1,1,1,0.978,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.623476326,1,1,1,1,0.978,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,Jeremy,Stanley,jeremy,stanley,Τζέρεμι,ο Στάνλεϊ  ,0.697418332,0.463,0.143,0.308,0.758,0.732,0,0.4409,no,no,no
,deepset/minilm-uncased-squad2,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.720932364,1,1,1,1,0.978,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.818741858,1,1,1,1,0.978,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.680290282,1,1,1,1,0.978,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Stanley,Stanley,stanley,stanley,Στάνλεϊ,ο Στάνλεϊ  ,0.905803263,1,1,1,1,0.978,1,1,yes,yes,yes
He had enemies before Jeremy moved into the neighborhood ?,deepset/roberta-base-squad2,Maybe he made their hair fall off or he made their breath smell bad,no,maybe he made their hair fall off or he made their breath smell bad,no,Κενό πεδίο,όχι,0.045815662,0.645,0.015,0.029,0.191,0.338,0,0.2098,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,I never had an enemy,no,i never had an enemy,no,Ποτέ δεν είχα εχθρό.,όχι,0.099588275,0.61,0.05,0.091,0.549,0.286,0,0.3557,partially,no,partially
,distilbert-base-cased-distilled-squad,I have just lost my best enemy,no,i have just lost my best enemy,no,Μόλις έχασα τον καλύτερό μου εχθρό.,όχι,0.118050523,0.591,0.033,0.062,0.317,0.053,0,0.2545,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,worms and stones,no,worms and stones,no,σκουλήκια και πέτρες,όχι,0.424252838,0.364,0.125,0.111,0.54,0.162,0,0.3124,no,no,no
,distilbert-base-uncased-distilled-squad,I have just lost my best enemy,no,i have just lost my best enemy,no,Μόλις έχασα τον καλύτερό μου εχθρό.,όχι,0.129771665,0.591,0.033,0.062,0.317,0.053,0,0.2545,no,no,no
,rsvp-ai/bertserini-bert-base-squad,I never had an enemy,no,i never had an enemy,no,Ποτέ δεν είχα εχθρό.,όχι,0.051108737,0.61,0.05,0.091,0.549,0.286,0,0.3557,partially,no,partially
,deepset/minilm-uncased-squad2,Dad,no,dad,no,Μπαμπάς,όχι,0.3335976,0.305,0,0,0.557,0.399,0,0.2838,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,Maybe he made their hair fall off or he made their breath smell bad,no,maybe he made their hair fall off or he made their breath smell bad,no,Ίσως έκανε τα μαλλιά τους να πέσουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,όχι,0.281975985,0.645,0.015,0.029,0.191,-0.009,0,0.2098,no,no,no
,deepset/bert-base-cased-squad2,I never had an enemy,no,i never had an enemy,no,Ποτέ δεν είχα εχθρό.,όχι,0.028386489,0.61,0.05,0.091,0.549,0.286,0,0.3557,partially,no,partially
,bert-large-cased-whole-word-masking-finetuned-squad,Dad,no,dad,no,Μπαμπάς,όχι,0.271798044,0.305,0,0,0.557,0.399,0,0.2838,no,no,no
What did the enemy do to the enemies ?,deepset/roberta-base-squad2,he made their hair fall off or he made their breath smell bad,Maybe it made their hair fall out or made their breath smell bad.,he made their hair fall off or he made their breath smell bad,maybe it made their hair fall out or made their breath smell bad,έκανε τα μαλλιά τους να πέσουν ή έκανε την αναπνοή τους να μυρίζει άσχημα,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.252465039,0.983,0.812,0.88,0.92,0.878,0.615384615,0.856876923,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,.,Maybe it made their hair fall out or made their breath smell bad.,,maybe it made their hair fall out or made their breath smell bad,.,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.684367418,0,0,0,0.225,0.021,0,0.09,no,no,no
,distilbert-base-cased-distilled-squad,I have just lost my best enemy,Maybe it made their hair fall out or made their breath smell bad.,i have just lost my best enemy,maybe it made their hair fall out or made their breath smell bad,Μόλις έχασα τον καλύτερό μου εχθρό.,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.164905697,0.846,0.266,0.255,0.276,0.067,0,0.3317,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,worms and stones,Maybe it made their hair fall out or made their breath smell bad.,worms and stones,maybe it made their hair fall out or made their breath smell bad,σκουλήκια και πέτρες,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.396117598,0.593,0.125,0.2,0.327,0.03,0,0.2819,no,no,no
,distilbert-base-uncased-distilled-squad,lost my best enemy,Maybe it made their hair fall out or made their breath smell bad.,lost my best enemy,maybe it made their hair fall out or made their breath smell bad,έχασα τον καλύτερό μου εχθρό.,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.362155229,0.782,0.172,0.195,0.279,0.049,0,0.3047,no,no,no
,rsvp-ai/bertserini-bert-base-squad,spend a day with Jeremy and then he would disappear from my life,Maybe it made their hair fall out or made their breath smell bad.,spend a day with jeremy and then he would disappear from my life,maybe it made their hair fall out or made their breath smell bad,να περάσω μια μέρα με τον Τζέρεμι και μετά θα εξαφανιζόταν από τη ζωή μου.,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.216856077,0.886,0.203,0.344,0.318,0.062,0,0.3591,no,no,no
,deepset/minilm-uncased-squad2,hate,Maybe it made their hair fall out or made their breath smell bad.,hate,maybe it made their hair fall out or made their breath smell bad,μίσος,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.580332875,0.591,0.062,0.118,0.34,0.111,0,0.2722,no,no,no
,dmis-lab/biobert-large-cased-v1.1-squad,hate it,Maybe it made their hair fall out or made their breath smell bad.,hate it,maybe it made their hair fall out or made their breath smell bad,το μισώ,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.553380966,0.8,0.109,0.141,0.338,0.069,0.133333333,0.346866667,no,no,no
,deepset/bert-base-cased-squad2,he made their hair fall off,Maybe it made their hair fall out or made their breath smell bad.,he made their hair fall off,maybe it made their hair fall out or made their breath smell bad,έκανε τα μαλλιά τους να πέσουν,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.303733319,0.935,0.375,0.527,0.618,0.624,0.421052632,0.608610526,partially,partially,partially
,bert-large-cased-whole-word-masking-finetuned-squad,get rid of them,Maybe it made their hair fall out or made their breath smell bad.,get rid of them,maybe it made their hair fall out or made their breath smell bad,ξεφορτώσου τους.,Ίσως έκανε τα μαλλιά τους να πέφτουν ή έκανε την αναπνοή τους να μυρίζει άσχημα.,0.434433848,0.857,0.188,0.228,0.374,0.155,0,0.3626,no,no,no
Who brought the pie ?,deepset/roberta-base-squad2,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.754752159,1,1,1,1,0.988,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,worms and stones,Dad,worms and stones,dad,σκουλήκια και πέτρες,ο μπαμπάς,0.547976851,0.275,0.125,0.211,0.33,0.246,0,0.2206,no,no,no
,distilbert-base-cased-distilled-squad,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.990277171,1,1,1,1,0.988,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.708446443,1,1,1,1,0.988,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.817991018,1,1,1,1,0.988,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.9215011,1,1,1,1,0.988,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.576664209,1,1,1,1,0.988,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.971797764,1,1,1,1,0.988,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.941181898,1,1,1,1,0.988,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Dad,Dad,dad,dad,Μπαμπάς,ο μπαμπάς,0.937992334,1,1,1,1,0.988,1,1,yes,yes,yes
What has brought the first digital labor camps ?,deepset/roberta-base-squad2,The systematic mobilization of digital technology,The systematic mobilization of digital technology in the service of increasing labour efficiency,the systematic mobilization of digital technology,the systematic mobilization of digital technology in the service of increasing labour efficiency,Η συστηματική κινητοποίηση της ψηφιακής τεχνολογίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.250045776,0.93,0.51,0.676,0.789,0.71,0.631578947,0.746515789,partially,yes,partially
,bert-large-uncased-whole-word-masking-finetuned-squad,The systematic mobilization of digital technology,The systematic mobilization of digital technology in the service of increasing labour efficiency,the systematic mobilization of digital technology,the systematic mobilization of digital technology in the service of increasing labour efficiency,Η συστηματική κινητοποίηση της ψηφιακής τεχνολογίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.32295835,0.93,0.51,0.676,0.789,0.71,0.631578947,0.746515789,partially,yes,partially
,distilbert-base-cased-distilled-squad,systematic mobilization of digital technology in the service of increasing work efficiency,The systematic mobilization of digital technology in the service of increasing labour efficiency,systematic mobilization of digital technology in the service of increasing work efficiency,the systematic mobilization of digital technology in the service of increasing labour efficiency,συστηματική κινητοποίηση της ψηφιακής τεχνολογίας στην υπηρεσία της αύξησης της αποδοτικότητας της εργασίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.365593165,0.989,0.906,0.946,0.982,0.946,0.8,0.9358,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,The systematic mobilization of digital technology,The systematic mobilization of digital technology in the service of increasing labour efficiency,the systematic mobilization of digital technology,the systematic mobilization of digital technology in the service of increasing labour efficiency,Η συστηματική κινητοποίηση της ψηφιακής τεχνολογίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.312732548,0.93,0.51,0.676,0.789,0.71,0.631578947,0.746515789,partially,yes,partially
,distilbert-base-uncased-distilled-squad,systematic mobilization of digital technology in the service of increasing work efficiency,The systematic mobilization of digital technology in the service of increasing labour efficiency,systematic mobilization of digital technology in the service of increasing work efficiency,the systematic mobilization of digital technology in the service of increasing labour efficiency,συστηματική κινητοποίηση της ψηφιακής τεχνολογίας στην υπηρεσία της αύξησης της αποδοτικότητας της εργασίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.278548807,0.989,0.906,0.946,0.982,0.946,0.8,0.9358,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,digital technology in the service of increasing work efficiency,The systematic mobilization of digital technology in the service of increasing labour efficiency,digital technology in the service of increasing work efficiency,the systematic mobilization of digital technology in the service of increasing labour efficiency,ψηφιακή τεχνολογία στην υπηρεσία της αύξησης της αποδοτικότητας της εργασίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.273550153,0.952,0.625,0.767,0.904,0.913,0.727272727,0.836654545,partially,yes,partially
,deepset/minilm-uncased-squad2,systematic mobilization of digital technology,The systematic mobilization of digital technology in the service of increasing labour efficiency,systematic mobilization of digital technology,the systematic mobilization of digital technology in the service of increasing labour efficiency,συστηματική κινητοποίηση της ψηφιακής τεχνολογίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.212254807,0.889,0.469,0.638,0.768,0.7,0.555555556,0.706811111,partially,yes,partially
,dmis-lab/biobert-large-cased-v1.1-squad,The systematic mobilization of digital technology,The systematic mobilization of digital technology in the service of increasing labour efficiency,the systematic mobilization of digital technology,the systematic mobilization of digital technology in the service of increasing labour efficiency,Η συστηματική κινητοποίηση της ψηφιακής τεχνολογίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.291095018,0.93,0.51,0.676,0.789,0.71,0.631578947,0.746515789,partially,yes,partially
,deepset/bert-base-cased-squad2,systematic mobilization of digital technology in the service of increasing work efficiency,The systematic mobilization of digital technology in the service of increasing labour efficiency,systematic mobilization of digital technology in the service of increasing work efficiency,the systematic mobilization of digital technology in the service of increasing labour efficiency,συστηματική κινητοποίηση της ψηφιακής τεχνολογίας στην υπηρεσία της αύξησης της αποδοτικότητας της εργασίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.348755926,0.989,0.906,0.946,0.982,0.946,0.8,0.9358,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,systematic mobilization of digital technology,The systematic mobilization of digital technology in the service of increasing labour efficiency,systematic mobilization of digital technology,the systematic mobilization of digital technology in the service of increasing labour efficiency,συστηματική κινητοποίηση της ψηφιακής τεχνολογίας,Η συστηματική επιστράτευση της ψηφιακής τεχνολογίας στη υπηρεσία της αύξησης της εργασιακής αποδοτικότητας,0.221846133,0.889,0.469,0.638,0.768,0.7,0.555555556,0.706811111,partially,yes,partially
Who has a digital transmitter on their jacket?,deepset/roberta-base-squad2,The workers,Workers,the workers,workers,Οι εργάτες,Οι εργαζόμενοι,0.463127434,0.884,0.636,0.778,0.977,0.99,0.666666667,0.842333333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,The workers,Workers,the workers,workers,Οι εργάτες,Οι εργαζόμενοι,0.681240261,0.884,0.636,0.778,0.977,0.99,0.666666667,0.842333333,yes,yes,yes
,distilbert-base-cased-distilled-squad,The workers,Workers,the workers,workers,Οι εργάτες,Οι εργαζόμενοι,0.768127441,0.884,0.636,0.778,0.977,0.99,0.666666667,0.842333333,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,workers,Workers,workers,workers,Εργαζομένων,Οι εργαζόμενοι,0.400762528,1,1,1,1,0.972,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,workers,Workers,workers,workers,Εργαζομένων,Οι εργαζόμενοι,0.517754734,1,1,1,1,0.972,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,The workers,Workers,the workers,workers,Οι εργάτες,Οι εργαζόμενοι,0.598994076,0.884,0.636,0.778,0.977,0.99,0.666666667,0.842333333,yes,yes,yes
,deepset/minilm-uncased-squad2,workers,Workers,workers,workers,Εργαζομένων,Οι εργαζόμενοι,0.482468188,1,1,1,1,0.972,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,workers,Workers,workers,workers,Εργαζομένων,Οι εργαζόμενοι,0.824462473,1,1,1,1,0.972,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,workers,Workers,workers,workers,Εργαζομένων,Οι εργαζόμενοι,0.591711879,1,1,1,1,0.972,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,workers,Workers,workers,workers,Εργαζομένων,Οι εργαζόμενοι,0.701343,1,1,1,1,0.972,1,1,yes,yes,yes
From what is recorded the entry of employees in the office ?,deepset/roberta-base-squad2,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.735184729,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.768609166,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,distilbert-base-cased-distilled-squad,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.698635995,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.724800169,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,distilbert-base-uncased-distilled-squad,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.623730898,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.769468427,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,deepset/minilm-uncased-squad2,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.549655735,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.632320881,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,deepset/bert-base-cased-squad2,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.946855903,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,photocells,from photocells,photocells,from photocells,φωτοκύτταρα,απο τα φωτοκύτταρα,0.807889998,0.793,0.667,0.8,0.943,0.882,0.666666667,0.815833333,yes,yes,yes
How does the employer know if an employee is using the phone for purposes other than work?,deepset/roberta-base-squad2,The phones are monitored around the clock by software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,the phones are monitored around the clock by software for recording the numbers,telephones are monitored around the clock by dial number recording software,Τα τηλέφωνα παρακολουθούνται όλο το εικοσιτετράωρο από λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.110858038,0.938,0.696,0.766,0.934,0.923,0.666666667,0.840733333,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,monitored around the clock by software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,monitored around the clock by software for recording the numbers,telephones are monitored around the clock by dial number recording software,παρακολουθούνται όλο το εικοσιτετράωρο από λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.179042295,0.93,0.52,0.662,0.897,0.703,0.666666667,0.796333333,yes,yes,yes
,distilbert-base-cased-distilled-squad,software,Telephones are monitored around the clock by dial number recording software.,software,telephones are monitored around the clock by dial number recording software,λογισμικό,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.182460725,0.549,0.107,0.193,0.401,0.044,0.166666667,0.333533333,no,no,no
,deepset/bert-large-uncased-whole-word-masking-squad2,phones are monitored around the clock by software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,phones are monitored around the clock by software for recording the numbers,telephones are monitored around the clock by dial number recording software,Τα τηλέφωνα παρακολουθούνται όλο το εικοσιτετράωρο από λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.046079841,0.949,0.667,0.76,0.941,0.923,0.695652174,0.848030435,yes,yes,yes
,distilbert-base-uncased-distilled-squad,out-of-work,Telephones are monitored around the clock by dial number recording software.,outofwork,telephones are monitored around the clock by dial number recording software,άνεργος,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.055445753,0,0.093,0.167,0.216,-0.049,0,0.1124,no,no,no
,rsvp-ai/bertserini-bert-base-squad,software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,software for recording the numbers,telephones are monitored around the clock by dial number recording software,λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.01527829,0.817,0.293,0.367,0.784,0.444,0.375,0.618,partially,partially,partially
,deepset/minilm-uncased-squad2,monitored around the clock by software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,monitored around the clock by software for recording the numbers,telephones are monitored around the clock by dial number recording software,παρακολουθούνται όλο το εικοσιτετράωρο από λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.078855127,0.93,0.52,0.662,0.897,0.703,0.666666667,0.796333333,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,The phones are monitored around the clock by software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,the phones are monitored around the clock by software for recording the numbers,telephones are monitored around the clock by dial number recording software,Τα τηλέφωνα παρακολουθούνται όλο το εικοσιτετράωρο από λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.16478321,0.938,0.696,0.766,0.934,0.923,0.666666667,0.840733333,yes,yes,yes
,deepset/bert-base-cased-squad2,monitored around the clock by software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,monitored around the clock by software for recording the numbers,telephones are monitored around the clock by dial number recording software,παρακολουθούνται όλο το εικοσιτετράωρο από λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.101563685,0.93,0.52,0.662,0.897,0.703,0.666666667,0.796333333,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,phones are monitored around the clock by software for recording the numbers,Telephones are monitored around the clock by dial number recording software.,phones are monitored around the clock by software for recording the numbers,telephones are monitored around the clock by dial number recording software,Τα τηλέφωνα παρακολουθούνται όλο το εικοσιτετράωρο από λογισμικό για την καταγραφή των αριθμών,Τα τηλέφωνα παρακολουθούνται ολόκληρο το εικοσιτετράωρο από λογισμικά καταγραφής των αριθμών κλήσης.,0.098854378,0.949,0.667,0.76,0.941,0.923,0.695652174,0.848030435,yes,yes,yes
Who acts as machines for recording employees' working practices?,deepset/roberta-base-squad2,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.977210522,1,1,1,1,0.987,1,1,yes,yes,yes
,bert-large-uncased-whole-word-masking-finetuned-squad,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.990232885,1,1,1,1,0.987,1,1,yes,yes,yes
,distilbert-base-cased-distilled-squad,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.997160137,1,1,1,1,0.987,1,1,yes,yes,yes
,deepset/bert-large-uncased-whole-word-masking-squad2,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.991911411,1,1,1,1,0.987,1,1,yes,yes,yes
,distilbert-base-uncased-distilled-squad,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.988649487,1,1,1,1,0.987,1,1,yes,yes,yes
,rsvp-ai/bertserini-bert-base-squad,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.991865456,1,1,1,1,0.987,1,1,yes,yes,yes
,deepset/minilm-uncased-squad2,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.985832989,1,1,1,1,0.987,1,1,yes,yes,yes
,dmis-lab/biobert-large-cased-v1.1-squad,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.994956791,1,1,1,1,0.987,1,1,yes,yes,yes
,deepset/bert-base-cased-squad2,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.994742393,1,1,1,1,0.987,1,1,yes,yes,yes
,bert-large-cased-whole-word-masking-finetuned-squad,Computers,Computers,computers,computers,Υπολογιστές,Οι υπολογιστές,0.996546149,1,1,1,1,0.987,1,1,yes,yes,yes
How does the employer supervise how quickly the employee types?,deepset/roberta-base-squad2,electronically,"Monitoring programs available in the market, have the ability to record the individual keys of the computer that each employee presses.",electronically,monitoring programs available in the market have the ability to record the individual keys of the computer that each employee presses,Ηλεκτρονικά,"Προγράμματα παρακολούθησης που διατίθενται στην αγορά, διαθέτουν τη δυνατότητα καταγραφής των επιμέρους πλήκτρων του υπολογιστή που πατάει ο κάθε υπάλληλος.",0.049711913,0.403,0.083,0.109,0.222,0.037,0,0.1886,no,no,no
,bert-large-uncased-whole-word-masking-finetuned-squad,electronically,"Monitoring programs available in the market, have the ability to record the individual keys of the computer that each employee presses.",electronically,monitoring programs available in the market have the ability to record the individual keys of the computer that each employee presses,Ηλεκτρονικά,"Προγράμματα παρακολούθησης που διατίθενται στην αγορά, διαθέτουν τη δυνατότητα καταγραφής των επιμέρους πλήκτρων του υπολογιστή που πατάει ο κάθε υπάλληλος.",0.753009796,0.403,0.083,0.109,0.222,0.037,0,0.1886,no,no,no
,distilbert-base-cased-distilled-squad,electronically,"Monitoring programs available in the market, have the ability to record the individual keys of the computer that each employee presses.",electronically,monitoring programs available in the market have the ability to record the individual keys of the computer that each employee presses,Ηλεκτρονικά,"Προγράμματα παρακολούθησης που διατίθενται στην αγορά, διαθέτουν τη δυνατότητα καταγραφής των επιμέρους πλήκτρων του υπολογιστή που πατάει ο κάθε υπάλληλος.",0.928820968,0.403,0.083,0.109,0.222,0.037,0,0.1886,no,no,no
